title,price
Rocketbook Fusion - atkārtoti izmantojams plānotājs,80.99
Lenovo X270 12.5 1920x1080 i5-6200U 4GB 120SSD M.2 NVME WIN10Pro WEBCAM RENEW,189.05
HP ProBook 430 G7,198.0
Lenovo X270 12.5 1920x1080 i5-6200U 4GB 240SSD M.2 NVME WIN10Pro WEBCAM RENEW,198.55
Lenovo X270 12.5 1920x1080 i5-6200U 8GB 120SSD M.2 NVME WIN10Pro WEBCAM RENEW,198.55
HP 820 G3,198.55
HP ProBook 430 G7 i3-10110U|8GB|128GB|Win10PRO|Atjaunināts/Renew,199.0
Lenovo X270 12.5 1920x1080 i5-6200U 8GB 240SSD M.2 NVME WIN10Pro WEBCAM RENEW,208.05
Dell E7280,208.05
HP 820 G3,208.05
HP 645 G1 14 1366x768 A8-5550M 16GB 128SSD WIN10Pro WEBCAM RENEW,211.0
HP 820 G3,217.55
Lenovo X270 12.5 1920x1080 i5-6200U 16GB 120SSD M.2 NVME WIN10Pro WEBCAM RENEW,217.55
Dell E7280,217.55
Lenovo X270 12.5 1920x1080 i5-6200U 4GB 480SSD M.2 NVME WIN10Pro WEBCAM RENEW,217.55
"Fujitsu E546 14 1920x1080 i5-6200U 8GB 128SSD WIN10Pro, atjaunots",219.0
DELL Latitude E7240 i5-4310U 12.1 HD 8GB 256GB Win10PRO,220.0
"14"" Ideapad 1 N5030 4GB 64GB eMMC Windows 10 Portatīvais dators",220.49
Lenovo L470,221.35
HP 820 G3,222.3
"Notebook|ACER|Chromebook|C933|CPU N4020|1100 MHz|14""|1920x1080|RAM 4GB|DDR4|eMMC 32GB|Intel UHD Graphics 600|Integrated|NOR|Chrome OS|Black|1.5 kg|NX.",224.0
HP 820 G3,227.05
Lenovo X270 12.5 1920x1080 i5-6200U 8GB 480SSD M.2 NVME WIN10Pro WEBCAM RENEW,227.05
Dell E7280,227.05
Lenovo X270 12.5 1920x1080 i5-6200U 16GB 240SSD M.2 NVME WIN10Pro WEBCAM RENEW,227.05
"DELL E7280 12.5 1920x1080 i5-7300U 8GB 128SSD WIN10Pro, atjaunots",227.05
"Fujitsu E546 14 1920x1080 i5-6200U 8GB 256SSD WIN10Pro, atjaunots",229.0
Lenovo L470,230.85
Kruger & Matz PC Tab 2in 1 EDGE 1089 Portatīvais dators,233.0
"Fujitsu E546 14 1920x1080 i5-6200U 16GB 128SSD WIN10Pro, atjaunots",234.0
Dell E7280,236.55
Dell E7280,236.55
"DELL E7280 12.5 1920x1080 i5-7300U 8GB 256SSD WIN10Pro, atjaunots",236.55
HP EliteBook 745 G5 2300U|8GB|256GB|Win11PRO|Atjaunots/Renew,237.0
techBite Arc 11.6 128 GB Touch Win10 PRO,238.0
"Fujitsu E546 14 1920x1080 i5-6200U 8GB 512SSD WIN10Pro, atjaunots",239.0
"HP EliteBook 830 G5 Touch; i5-8250U|8GB 13.3"" Touch|128GB |Windows 11 PRO|Atjaunināts/Renew",240.0
Lenovo L470,240.35
HP 820 G3,241.3
"Fujitsu E546 14 1920x1080 i5-6200U 16GB 256SSD WIN10Pro, atjaunots",244.0
Lenovo X270 12.5 1920x1080 i5-6200U 4GB 120SSD M.2 NVME WIN10Pro WEBCAM RENEW [refurbished],244.23
Lenovo X270 12.5 1920x1080 i5-6200U 16GB 480SSD M.2 NVME WIN10Pro WEBCAM RENEW,246.05
"DELL E7280 12.5 1920x1080 i5-7300U 16GB 128SSD WIN10Pro, atjaunots",246.05
Dell E5450,246.05
Lenovo L470,249.85
Lenovo L470,249.85
"14"" ProBook 645 G1 A8-4500M 8GB 512GB SSD Windows 10 Pro",249.99
HP 820 G3,250.8
TechBite TAB000519,254.0
Dell E5450,255.55
Dell E7280,255.55
"DELL E5580 15.6 1920x1080 i5-6200U 8GB 128SSD M.2 NVME WIN10Pro, atjaunots",255.55
"DELL E7280 12.5 1920x1080 i5-7300U 8GB 512SSD WIN10Pro, atjaunots",255.55
"DELL E7280 12.5 1920x1080 i5-7300U 16GB 256SSD WIN10Pro, atjaunots",255.55
Lenovo X270 12.5 1920x1080 i5-6200U 4GB 240SSD M.2 NVME WIN10Pro WEBCAM RENEW [refurbished],256.5
Lenovo X270 12.5 1920x1080 i5-6200U 8GB 120SSD M.2 NVME WIN10Pro WEBCAM RENEW [refurbished],256.5
HP EliteBook 745 G6,259.0
"Fujitsu E546 14 1920x1080 i5-6200U 16GB 512SSD WIN10Pro, atjaunots",259.0
"14"" ThinkPad T450 i5-5300U 8GB 256GB SSD Windows 10 Pro Portatīvais dators",259.99
"14"" Lenovo T460s Ultrabook i5-6300u 8GB 120GB SSD Windows 10 Professional Portatīvais dators",259.99
"14"" Lenovo T460 i5-6300U 4GB 120GB SSD Windows 10 Professional Portatīvais dators",259.99
"15.6"" Vostro i3-7100U 4GB 128GB SSD Windows 10 Professional Portatīvais dators",259.99
Asus Chromebook CR1 CR1100CKA-YZ142,262.0
"14"" Lenovo T450s i5-5300u 4GB 250GB HDD Windows 10 Professional Portatīvais dators",262.49
Lenovo ThinkPad Yoga 11e 6th Gen (20SES00D00),265.0
Dell E5450,265.05
"DELL E5580 15.6 1920x1080 i5-6200U 8GB 256SSD M.2 NVME WIN10Pro, atjaunots",265.05
Lenovo X270 12.5 1920x1080 i5-6200U 4GB 960SSD M.2 NVME WIN10Pro WEBCAM RENEW,265.05
Umax VisionBook 12Wr Tab (UMM220T22),266.0
Lenovo X270 12.5 1920x1080 i5-6200U 8GB 240SSD M.2 NVME WIN10Pro WEBCAM RENEW [refurbished],268.77
Lenovo L470,268.85
"Fujitsu E546 14 1920x1080 i5-6200U 8GB 1TB SSD WIN10Pro, atjaunots",269.0
HP 820 G3,269.8
"15.6"" HP 250 G6 i3-7020U 4GB 128GB SSD Windows 10 Professional Portatīvais dators",269.99
"14"" Ideapad 1 N5030 4GB 128GB SSD Windows 10 Portatīvais dators",269.99
"14"" ProBook 645 G1 A8-4500M 8GB 1TB SSD Windows 10 Pro",269.99
"12.5"" Dell e7250 i5-5300U 4GB 240GB SSD Windows 10 Professional Portatīvais dators",269.99
HP ProBook 430 G7; i5-10210U |8GB|256 GB|Windows 11 PRO|Atjaunots/Renew,271.0
"14"" Lenovo T450s i5-5300u 4GB 120GB SSD Windows 10 Professional Portatīvais dators",271.94
"14"" Lenovo T450s i5-5300u 8GB 250GB HDD Windows 10 Professional Portatīvais dators",272.99
"Fujitsu E546 14 1920x1080 i5-6200U 32GB 128SSD WIN10Pro, atjaunots",273.0
"DELL E7280 12.5 1920x1080 i5-7300U 16GB 512SSD WIN10Pro, atjaunots",274.55
"DELL E5580 15.6 1920x1080 i5-6200U 16GB 128SSD M.2 NVME WIN10Pro, atjaunots",274.55
Dell E5450,274.55
Lenovo X270 12.5 1920x1080 i5-6200U 8GB 960SSD M.2 NVME WIN10Pro WEBCAM RENEW,274.55
DELL E5470 14 1920x1080 i5-6200U 8GB 128SSD M.2 NVME WIN10Pro WEBCAM RENEW,274.55
Dell E5450,274.55
"Toshiba B551 i3-2350M 8GB 250GB HDD Windows 10 Professional Portatīvais dators, atjaunots",278.24
"Dell Latitude 5570 i5-6440HQ 15,6"" FHD 8GB 256GB SSD Win10Pro",279.0
"14"" Lenovo L470 i5-6200U 8GB 120GB SSD Windows 10 Professional Portatīvais dators",279.99
"Portatīvais dators 15.6"" 15-gw Athlon 3050U 6GB 256GB SSD Windows 10",279.99
"14"" ThinkPad T450 i5-5300U 8GB 512GB SSD Windows 10 Pro Portatīvais dators",279.99
HP Elitebook 840 G3 i5-6300 4GB 240GB SSD Windows 10 Professional ReNew Portatīvais dators,279.99
"14"" Lenovo T460 i5-6300U 4GB 240GB SSD Windows 10 Professional Portatīvais dators",279.99
"14"" Lenovo T460 i5-6300U 8GB 120GB SSD Windows 10 Professional Portatīvais dators",279.99
Lenovo X270 12.5 1920x1080 i5-6200U 16GB 120SSD M.2 NVME WIN10Pro WEBCAM RENEW [refurbished],281.05
Lenovo X270 12.5 1920x1080 i5-6200U 4GB 480SSD M.2 NVME WIN10Pro WEBCAM RENEW [refurbished],281.05
Lenovo T470 14 1920x1080 i5-6300U 8GB 256SSD WIN10Pro WEBCAM RENEW [refurbished],282.15
"14"" Lenovo T450s i5-5300u 4GB 240GB SSD Windows 10 Professional Portatīvais dators",282.44
"Fujitsu E546 14 1920x1080 i5-6200U 32GB 256SSD WIN10Pro, atjaunots",283.0
"DELL E5580 15.6 1920x1080 i5-6200U 16GB 256SSD M.2 NVME WIN10Pro, atjaunots",284.05
"DELL E5580 15.6 1920x1080 i5-6200U 8GB 512SSD M.2 NVME WIN10Pro, atjaunots",284.05
DELL E5470 14 1920x1080 i5-6200U 8GB 256SSD M.2 NVME WIN10Pro WEBCAM RENEW,284.05
Dell E7280,284.05
Asus P1412CEA,287.28
"Fujitsu E546 14 1920x1080 i5-6200U 16GB 1TB SSD WIN10Pro, atjaunots",288.0
ThinkPad T460s i5-6300U 14.0 FHD 8GB RAM 256GB SSD Win10 PRO,289.0
"HP 840 G2 i5-5300U 4GB 120GB SSD Windows 10 Professional 14""",289.79
"HP 840 G2 i5-5300U 8GB 120GB SSD Windows 10 Professional 14""",289.99
"14"" Lenovo T460 i5-6300U 8GB 240GB SSD Windows 10 Professional Portatīvais dators",289.99
"14"" Lenovo L470 i5-6200U 8GB 240GB SSD Windows 10 Professional Portatīvais dators",289.99
"Portatīvais dators 14"" 5490 i3-7130U 4GB 128GB SSD Windows 10 Professional",289.99
Lenovo X270 12.5 1920x1080 i5-6200U 16GB 240SSD M.2 NVME WIN10Pro WEBCAM RENEW [refurbished],293.32
